plz,stadtteil,preis,groesse,zimmer,a_name,link
12524,Köpenick,439800,77.71,3.0,schoene-3-zimmer-wohnung-im-gruenen-naehe-des-wissenschaftsstandortes-adlershof,https://www.ebay-kleinanzeigen.de/s-anzeige/schoene-3-zimmer-wohnung-im-gruenen-naehe-des-wissenschaftsstandortes-adlershof/2062418037-196-3368
12524,Köpenick,433200,83.65,3.0,grosszuegig-geschnittene-3-zimmer-wohnung-in-ruhiger-und-gruener-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/grosszuegig-geschnittene-3-zimmer-wohnung-in-ruhiger-und-gruener-lage/2071939251-196-3368
13467,Reinickendorf,359000,73.9,3.0,hermsdorf-gut-geschnittene-helle-3-zimmer-altbauwohnung-mit-ueberdachter-terrasse-und-eigenem-garten,https://www.ebay-kleinanzeigen.de/s-anzeige/hermsdorf-gut-geschnittene-helle-3-zimmer-altbauwohnung-mit-ueberdachter-terrasse-und-eigenem-garten/2050201024-196-3455
10247,Friedrichshain,329900,68.37,3.0,vermietete-3-zimmer-eigentumswohnung-in-stark-nachgefragter-lage-in-friedrichshain,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-3-zimmer-eigentumswohnung-in-stark-nachgefragter-lage-in-friedrichshain/1962981190-196-3353
12355,Rudow,1010225,118.85,4.0,-provisionsfrei-viel-raum-zur-freien-entfaltung-im-quartier-wassmannsdorfer,https://www.ebay-kleinanzeigen.de/s-anzeige/-provisionsfrei-viel-raum-zur-freien-entfaltung-im-quartier-wassmannsdorfer/2105247976-196-26893
10243,Friedrichshain,445000,62.67,2.0,bezugsfreie-fantastisch-gelegene-2-zimmer-wohnung-in-der-karl-marx-allee,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-fantastisch-gelegene-2-zimmer-wohnung-in-der-karl-marx-allee/2156137776-196-3354
14197,Wilmersdorf,1024000,115.54,4.0,familientraum-mit-4-zimmern-und-2-loggien,https://www.ebay-kleinanzeigen.de/s-anzeige/familientraum-mit-4-zimmern-und-2-loggien/1874647346-196-3542
12557,Köpenick,429950,61.7,2.0,neubau-erstbezug-mit-terrasse-und-privatgarten-an-der-dahme-provisionsfrei,https://www.ebay-kleinanzeigen.de/s-anzeige/neubau-erstbezug-mit-terrasse-und-privatgarten-an-der-dahme-provisionsfrei/1739666643-196-3366
12163,Steglitz,369000,67.0,3.0,helle-ruhige-3-zimmer-whg-in-sehr-begehrter-lage-von-steglitz-,https://www.ebay-kleinanzeigen.de/s-anzeige/helle-ruhige-3-zimmer-whg-in-sehr-begehrter-lage-von-steglitz-/2156116365-196-3426
14193,Dahlem,900000,116.0,3.0,grunewald-und-garten-herrliche-3-zimmer-etw-in-sued-west-lage-mit-terrasse-und-weitlaeufigem-garten,https://www.ebay-kleinanzeigen.de/s-anzeige/grunewald-und-garten-herrliche-3-zimmer-etw-in-sued-west-lage-mit-terrasse-und-weitlaeufigem-garten/2156094130-196-24192
13353,Wedding,255000,71.49,2.0,attraktive-kapitalanlage-im-denkmalgeschuetzten-altbau,https://www.ebay-kleinanzeigen.de/s-anzeige/attraktive-kapitalanlage-im-denkmalgeschuetzten-altbau/2156101633-196-3507
14199,Wilmersdorf,549000,76.0,3.0,wohnung-zu-verkaufen,https://www.ebay-kleinanzeigen.de/s-anzeige/wohnung-zu-verkaufen/2156030589-196-3541
10587,Charlottenburg,269000,65.53,2.0,vermietete-altbauwohnung-in-charlottenburg-,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-altbauwohnung-in-charlottenburg-/1989125922-196-3346
12555,Köpenick,505000,54.8,2.0,logenplatz-zur-alten-spree-als-investment-oder-zur-selbstnutzung,https://www.ebay-kleinanzeigen.de/s-anzeige/logenplatz-zur-alten-spree-als-investment-oder-zur-selbstnutzung/2104009595-196-3365
12043,Neukölln,430686,60.66,2.0,ideale-kapitalanlage-neukoellner-2-zimmer-wohntraum-mit-west-loggia,https://www.ebay-kleinanzeigen.de/s-anzeige/ideale-kapitalanlage-neukoellner-2-zimmer-wohntraum-mit-west-loggia/1873713089-196-3398
