plz,stadtteil,preis,groesse,zimmer,a_name,link
10243,Friedrichshain,1135000.0,71.43,2.0,dem-himmel-so-nah-2-zimmer-apartment-ganz-oben-im-wohnturm,https://www.ebay-kleinanzeigen.de/s-anzeige/dem-himmel-so-nah-2-zimmer-apartment-ganz-oben-im-wohnturm/2102386506-196-3354
10559,Tiergarten,229376.0,40.96,1.0,provisionsfrei-vermietet-zentral-gelegene-singlewohnung,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-vermietet-zentral-gelegene-singlewohnung/2128629723-196-9664
10559,Tiergarten,321888.0,57.48,2.0,provisionsfrei-vermietet-2-zimmer-kapitalanlage-mit-balkon,https://www.ebay-kleinanzeigen.de/s-anzeige/provisionsfrei-vermietet-2-zimmer-kapitalanlage-mit-balkon/2128626538-196-9664
10587,Charlottenburg,205000.0,50.3,2.0,vermietete-2-zimmer-erdgeschosswohnung-im-charlottenburger-altbau,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-2-zimmer-erdgeschosswohnung-im-charlottenburger-altbau/2128909340-196-3346
10247,Friedrichshain,183000.0,35.63,1.0,-jetzt-kapitalanleger-werden-vermietete-1-zimmer-auf-ca-36-m-,https://www.ebay-kleinanzeigen.de/s-anzeige/-jetzt-kapitalanleger-werden-vermietete-1-zimmer-auf-ca-36-m-/2128961730-196-3353
10781,Schöneberg,311120.0,38.89,1.0,kompakte-1-zimmer-wohnung-mit-balkon-und-wannenbad,https://www.ebay-kleinanzeigen.de/s-anzeige/kompakte-1-zimmer-wohnung-mit-balkon-und-wannenbad/2128900161-196-3445
13595,Spandau,244000.0,56.44,2.0,attraktive-vermietete-etw-in-spandau-am-havelufer-mit-garage-und-stellplatz,https://www.ebay-kleinanzeigen.de/s-anzeige/attraktive-vermietete-etw-in-spandau-am-havelufer-mit-garage-und-stellplatz/2075976459-196-3433
12161,Friedenau,439000.0,93.47,3.0,vermietete-altbauwohnung-mit-loggia,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-altbauwohnung-mit-loggia/1238123066-196-17084
10243,Friedrichshain,190000.0,47.13,2.0,vermietet-helle-whg-im-hochparterre-in-gepflegter-wohnanlage,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietet-helle-whg-im-hochparterre-in-gepflegter-wohnanlage/2128969698-196-3354
14055,Westend,645000.0,84.0,3.0,terrassenwohnung-mit-115-m-garten-im-westend,https://www.ebay-kleinanzeigen.de/s-anzeige/terrassenwohnung-mit-115-m-garten-im-westend/2154228902-196-25909
10557,Mitte,498000.0,48.27,2.0,spreeblick-neubauwohnung-sehr-zentral-gelegen-in-der-naehe-vom-berliner-hauptbahnhof,https://www.ebay-kleinanzeigen.de/s-anzeige/spreeblick-neubauwohnung-sehr-zentral-gelegen-in-der-naehe-vom-berliner-hauptbahnhof/2102164750-196-9672
12105,Tempelhof,510000.0,71.0,3.0,immoberlin-de-sonnige-wohnung-mit-modernem-ambiente-verglaster-loggia-in-sehr-gefragter-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/immoberlin-de-sonnige-wohnung-mit-modernem-ambiente-verglaster-loggia-in-sehr-gefragter-lage/2129156442-196-3408
10243,Friedrichshain,2970000.0,171.98,4.0,durch-nichts-zu-toppen-172-qm-mit-2-loggien-in-der-21-etage,https://www.ebay-kleinanzeigen.de/s-anzeige/durch-nichts-zu-toppen-172-qm-mit-2-loggien-in-der-21-etage/2102396124-196-3354
10557,Mitte,279900.0,55.69,2.0,die-lage-macht-den-unterschied-2-zimmerwohnung-mit-grosszuegigem-balkon,https://www.ebay-kleinanzeigen.de/s-anzeige/die-lage-macht-den-unterschied-2-zimmerwohnung-mit-grosszuegigem-balkon/2018196632-196-9672
